team,score,points,rank
team_4,2420.0,48,3
team_7,2469.0,47,4
team_6,2415.0,46,5
team_5,2392.5,44,6
team_3,2343.5,41,7
team_1,2368.5,32,8
team_8,2477.0,71,1
team_6,2415.0,57,2
team_7,2469.0,54,3
team_4,2420.0,51,4
team_3,2343.5,43,5
team_5,2392.5,40,6
team_1,2368.5,33,7
team_2,2412.0,31,8
team_8,2477.0,69,1
team_2,2412.0,58,2
team_6,2415.0,51,3
team_4,2420.0,50,4
team_5,2392.5,48,5
team_7,2469.0,42,6
team_3,2343.5,35,7
team_1,2368.5,32,8
team_8,2477.0,57,1
team_4,2420.0,52,2
team_7,2469.0,47,3
team_6,2415.0,46,4
team_1,2368.5,45,5
team_2,2412.0,45,6
team_5,2392.5,45,7
team_3,2343.5,41,8
team_8,2477.0,61,1
team_6,2415.0,60,2
team_4,2420.0,59,3
team_7,2469.0,59,4
team_3,2343.5,40,5
team_5,2392.5,40,6
team_2,2412.0,33,7
team_1,2368.5,29,8
team_8,2477.0,60,1
team_6,2415.0,57,2
team_7,2469.0,57,3
team_2,2412.0,49,4
team_1,2368.5,41,5
team_4,2420.0,41,6
team_3,2343.5,39,7
team_5,2392.5,37,8
team_8,2477.0,62,1
team_6,2415.0,58,2
team_7,2469.0,55,3
team_4,2420.0,46,4
team_1,2368.5,44,5
team_2,2412.0,40,6
team_5,2392.5,38,7
team_3,2343.5,34,8
team_7,2469.0,56,1
team_4,2420.0,55,2
team_8,2477.0,53,3
team_2,2412.0,49,4
team_6,2415.0,46,5
team_3,2343.5,40,6
team_1,2368.5,39,7
team_5,2392.5,36,8
team_8,2477.0,66,1
team_7,2469.0,59,2
team_6,2415.0,53,3
team_2,2412.0,41,4
team_4,2420.0,41,5
team_5,2392.5,39,6
team_1,2368.5,38,7
team_3,2343.5,36,8
team_8,2477.0,65,1
team_2,2412.0,52,2
team_6,2415.0,51,3
team_7,2469.0,49,4
team_3,2343.5,45,5
team_4,2420.0,44,6
team_1,2368.5,37,7
team_5,2392.5,34,8
team_8,2477.0,55,1
team_6,2415.0,55,2
team_4,2420.0,51,3
team_5,2392.5,51,4
team_7,2469.0,47,5
team_2,2412.0,43,6
team_3,2343.5,41,7
team_1,2368.5,35,8
team_6,2415.0,60,1
team_4,2420.0,59,2
team_8,2477.0,59,3
team_7,2469.0,50,4
team_5,2392.5,49,5
team_2,2412.0,40,6
team_1,2368.5,32,7
team_3,2343.5,30,8
team_8,2477.0,69,1
team_2,2412.0,57,2
team_6,2415.0,52,3
team_4,2420.0,48,4
team_5,2392.5,46,5
team_7,2469.0,44,6
team_3,2343.5,36,7
team_1,2368.5,31,8
team_8,2477.0,61,1
team_6,2415.0,55,2
team_2,2412.0,54,3
team_7,2469.0,48,4
team_4,2420.0,46,5
team_3,2343.5,43,6
team_5,2392.5,39,7
team_1,2368.5,28,8
team_8,2477.0,61,1
team_6,2415.0,52,2
team_7,2469.0,50,3
team_2,2412.0,49,4
team_4,2420.0,48,5
team_1,2368.5,41,6
team_5,2392.5,39,7
team_3,2343.5,28,8
team_7,2469.0,66,1
team_8,2477.0,64,2
team_6,2415.0,53,3
team_2,2412.0,52,4
team_4,2420.0,43,5
team_5,2392.5,40,6
team_1,2368.5,31,7
team_3,2343.5,26,8
team_8,2477.0,64,1
team_3,2343.5,50,2
team_2,2412.0,48,3
team_1,2368.5,48,4
team_4,2420.0,47,5
team_7,2469.0,46,6
team_6,2415.0,41,7
team_5,2392.5,32,8
team_8,2477.0,61,1
team_2,2412.0,52,2
team_6,2415.0,51,3
team_4,2420.0,49,4
team_7,2469.0,48,5
team_1,2368.5,42,6
team_5,2392.5,42,7
team_3,2343.5,37,8
team_8,2477.0,67,1
team_6,2415.0,55,2
team_7,2469.0,54,3
team_4,2420.0,47,4
team_1,2368.5,45,5
team_5,2392.5,40,6
team_2,2412.0,39,7
team_3,2343.5,31,8
team_8,2477.0,63,1
team_6,2415.0,63,2
team_2,2412.0,51,3
team_7,2469.0,51,4
team_4,2420.0,48,5
team_1,2368.5,35,6
team_3,2343.5,34,7
team_5,2392.5,33,8
team_7,2469.0,68,1
team_8,2477.0,63,2
team_6,2415.0,51,3
team_4,2420.0,47,4
team_5,2392.5,44,5
team_2,2412.0,42,6
team_1,2368.5,36,7
team_3,2343.5,30,8
team_8,2477.0,66,1
team_6,2415.0,54,2
team_7,2469.0,51,3
team_3,2343.5,46,4
team_2,2412.0,44,5
team_5,2392.5,40,6
team_4,2420.0,38,7
team_1,2368.5,36,8
team_8,2477.0,67,1
team_2,2412.0,56,2
team_6,2415.0,54,3
team_7,2469.0,53,4
team_5,2392.5,43,5
team_4,2420.0,38,6
team_3,2343.5,37,7
team_1,2368.5,36,8
team_8,2477.0,55,1
team_6,2415.0,53,2
team_4,2420.0,49,3
team_7,2469.0,49,4
team_2,2412.0,47,5
team_1,2368.5,44,6
team_3,2343.5,42,7
team_5,2392.5,34,8
team_7,2469.0,65,1
team_8,2477.0,61,2
team_2,2412.0,49,3
team_6,2415.0,48,4
team_4,2420.0,44,5
team_5,2392.5,42,6
team_3,2343.5,37,7
team_1,2368.5,36,8
team_8,2477.0,61,1
team_4,2420.0,59,2
team_7,2469.0,59,3
team_6,2415.0,54,4
team_2,2412.0,50,5
team_1,2368.5,38,6
team_5,2392.5,34,7
team_3,2343.5,28,8
team_8,2477.0,61,1
team_7,2469.0,57,2
team_4,2420.0,52,3
team_6,2415.0,52,4
team_1,2368.5,47,5
team_2,2412.0,45,6
team_5,2392.5,39,7
team_3,2343.5,26,8
team_8,2477.0,65,1
team_6,2415.0,63,2
team_7,2469.0,53,3
team_4,2420.0,49,4
team_3,2343.5,44,5
team_2,2412.0,42,6
team_5,2392.5,37,7
team_1,2368.5,34,8
team_8,2477.0,63,1
team_6,2415.0,51,2
team_2,2412.0,50,3
team_7,2469.0,48,4
team_4,2420.0,45,5
team_5,2392.5,45,6
team_3,2343.5,42,7
team_1,2368.5,34,8
team_8,2477.0,65,1
team_7,2469.0,55,2
team_1,2368.5,51,3
team_2,2412.0,47,4
team_6,2415.0,45,5
team_4,2420.0,45,6
team_5,2392.5,41,7
team_3,2343.5,27,8
team_7,2469.0,56,1
team_4,2420.0,55,2
team_6,2415.0,55,3
team_8,2477.0,55,4
team_2,2412.0,50,5
team_3,2343.5,41,6
team_1,2368.5,36,7
team_5,2392.5,32,8
team_8,2477.0,59,1
team_4,2420.0,56,2
team_6,2415.0,53,3
team_2,2412.0,50,4
team_7,2469.0,50,5
team_5,2392.5,43,6
team_3,2343.5,35,7
team_1,2368.5,31,8
team_8,2477.0,63,1
team_7,2469.0,57,2
team_4,2420.0,51,3
team_2,2412.0,50,4
team_6,2415.0,50,5
team_3,2343.5,38,6
team_5,2392.5,38,7
team_1,2368.5,29,8
team_7,2469.0,58,1
team_6,2415.0,53,2
team_8,2477.0,53,3
team_2,2412.0,47,4
team_5,2392.5,41,5
team_4,2420.0,40,6
team_1,2368.5,37,7
team_3,2343.5,34,8
team_8,2477.0,67,1
team_2,2412.0,53,2
team_5,2392.5,50,3
team_6,2415.0,50,4
team_7,2469.0,48,5
team_4,2420.0,47,6
team_3,2343.5,29,7
team_1,2368.5,28,8
team_6,2415.0,64,1
team_8,2477.0,63,2
team_7,2469.0,57,3
team_4,2420.0,45,4
team_3,2343.5,44,5
team_2,2412.0,40,6
team_5,2392.5,36,7
team_1,2368.5,31,8
team_7,2469.0,61,1
team_8,2477.0,56,2
team_2,2412.0,49,3
team_6,2415.0,46,4
team_4,2420.0,43,5
team_5,2392.5,43,6
team_1,2368.5,42,7
team_3,2343.5,34,8
team_7,2469.0,63,1
team_8,2477.0,59,2
team_6,2415.0,50,3
team_2,2412.0,47,4
team_5,2392.5,45,5
team_4,2420.0,42,6
team_3,2343.5,37,7
team_1,2368.5,32,8
team_8,2477.0,62,1
team_6,2415.0,62,2
team_2,2412.0,52,3
team_7,2469.0,52,4
team_4,2420.0,42,5
team_1,2368.5,36,6
team_5,2392.5,35,7
team_3,2343.5,29,8
team_7,2469.0,63,1
team_8,2477.0,63,2
team_2,2412.0,57,3
team_6,2415.0,52,4
team_4,2420.0,46,5
team_1,2368.5,37,6
team_5,2392.5,36,7
team_3,2343.5,25,8
team_8,2477.0,55,1
team_2,2412.0,52,2
team_7,2469.0,52,3
team_6,2415.0,51,4
team_5,2392.5,51,5
team_4,2420.0,49,6
team_3,2343.5,35,7
team_1,2368.5,35,8
team_6,2415.0,56,1
team_8,2477.0,55,2
team_7,2469.0,54,3
team_3,2343.5,52,4
team_4,2420.0,49,5
team_5,2392.5,45,6
team_1,2368.5,32,7
team_2,2412.0,32,8
team_8,2477.0,61,1
team_4,2420.0,56,2
team_7,2469.0,56,3
team_2,2412.0,52,4
team_6,2415.0,50,5
team_5,2392.5,41,6
team_3,2343.5,37,7
team_1,2368.5,32,8
team_8,2477.0,62,1
team_2,2412.0,52,2
team_6,2415.0,50,3
team_4,2420.0,49,4
team_7,2469.0,46,5
team_3,2343.5,41,6
team_5,2392.5,41,7
team_1,2368.5,36,8
team_7,2469.0,56,1
team_4,2420.0,53,2
team_8,2477.0,53,3
team_6,2415.0,52,4
team_3,2343.5,45,5
team_2,2412.0,42,6
team_5,2392.5,39,7
team_1,2368.5,35,8
team_8,2477.0,58,1
team_2,2412.0,56,2
team_7,2469.0,52,3
team_4,2420.0,51,4
team_6,2415.0,50,5
team_1,2368.5,36,6
team_3,2343.5,35,7
team_5,2392.5,34,8
team_8,2477.0,60,1
team_6,2415.0,54,2
team_7,2469.0,53,3
team_5,2392.5,53,4
team_4,2420.0,52,5
team_2,2412.0,47,6
team_3,2343.5,34,7
team_1,2368.5,30,8
team_8,2477.0,64,1
team_7,2469.0,54,2
team_5,2392.5,53,3
team_6,2415.0,51,4
team_2,2412.0,50,5
team_4,2420.0,42,6
team_3,2343.5,35,7
team_1,2368.5,35,8
team_8,2477.0,65,1
team_5,2392.5,54,2
team_7,2469.0,51,3
team_4,2420.0,50,4
team_6,2415.0,49,5
team_2,2412.0,43,6
team_3,2343.5,37,7
team_1,2368.5,33,8
team_7,2469.0,64,1
team_8,2477.0,59,2
team_6,2415.0,54,3
team_2,2412.0,48,4
team_4,2420.0,42,5
team_5,2392.5,41,6
team_1,2368.5,37,7
team_3,2343.5,36,8
team_8,2477.0,61,1
team_7,2469.0,54,2
team_4,2420.0,50,3
team_3,2343.5,49,4
team_2,2412.0,48,5
team_6,2415.0,42,6
team_1,2368.5,39,7
team_5,2392.5,37,8
team_6,2415.0,59,1
team_7,2469.0,55,2
team_8,2477.0,55,3
team_2,2412.0,52,4
team_4,2420.0,45,5
team_5,2392.5,42,6
team_3,2343.5,38,7
team_1,2368.5,34,8
team_8,2477.0,70,1
team_7,2469.0,56,2
team_3,2343.5,50,3
team_4,2420.0,49,4
team_6,2415.0,47,5
team_5,2392.5,39,6
team_2,2412.0,33,7
team_1,2368.5,27,8
team_8,2477.0,61,1
team_7,2469.0,59,2
team_6,2415.0,49,3
team_3,2343.5,46,4
team_5,2392.5,46,5
team_2,2412.0,44,6
team_1,2368.5,36,7
team_4,2420.0,33,8
team_8,2477.0,65,1
team_7,2469.0,52,2
team_2,2412.0,50,3
team_6,2415.0,50,4
team_1,2368.5,44,5
team_3,2343.5,41,6
team_4,2420.0,41,7
team_5,2392.5,39,8
team_8,2477.0,61,1
team_7,2469.0,59,2
team_6,2415.0,55,3
team_2,2412.0,49,4
team_5,2392.5,47,5
team_1,2368.5,35,6
team_3,2343.5,34,7
team_4,2420.0,29,8
team_6,2415.0,57,1
team_7,2469.0,56,2
team_8,2477.0,56,3
team_3,2343.5,48,4
team_4,2420.0,47,5
team_5,2392.5,45,6
team_2,2412.0,36,7
team_1,2368.5,31,8
team_7,2469.0,64,1
team_8,2477.0,59,2
team_3,2343.5,52,3
team_6,2415.0,51,4
team_2,2412.0,47,5
team_4,2420.0,41,6
team_1,2368.5,34,7
team_5,2392.5,32,8
team_8,2477.0,63,1
team_7,2469.0,60,2
team_6,2415.0,56,3
team_4,2420.0,51,4
team_2,2412.0,50,5
team_5,2392.5,36,6
team_1,2368.5,30,7
team_3,2343.5,28,8
team_8,2477.0,62,1
team_7,2469.0,60,2
team_2,2412.0,48,3
team_4,2420.0,46,4
team_6,2415.0,45,5
team_5,2392.5,44,6
team_3,2343.5,43,7
team_1,2368.5,31,8
team_8,2477.0,67,1
team_6,2415.0,54,2
team_2,2412.0,51,3
team_7,2469.0,49,4
team_5,2392.5,43,5
team_3,2343.5,40,6
team_4,2420.0,39,7
team_1,2368.5,38,8
team_8,2477.0,65,1
team_7,2469.0,53,2
team_4,2420.0,51,3
team_2,2412.0,48,4
team_6,2415.0,45,5
team_3,2343.5,41,6
team_5,2392.5,41,7
team_1,2368.5,35,8
team_8,2477.0,65,1
team_2,2412.0,55,2
team_3,2343.5,50,3
team_6,2415.0,49,4
team_5,2392.5,44,5
team_4,2420.0,42,6
team_7,2469.0,41,7
team_1,2368.5,32,8
team_8,2477.0,71,1
team_7,2469.0,63,2
team_6,2415.0,51,3
team_4,2420.0,47,4
team_5,2392.5,44,5
team_3,2343.5,43,6
team_2,2412.0,37,7
team_1,2368.5,32,8
team_8,2477.0,68,1
team_6,2415.0,60,2
team_7,2469.0,53,3
team_5,2392.5,47,4
team_1,2368.5,45,5
team_2,2412.0,44,6
team_4,2420.0,40,7
team_3,2343.5,25,8
team_8,2477.0,58,1
team_6,2415.0,55,2
team_7,2469.0,54,3
team_2,2412.0,48,4
team_3,2343.5,48,5
team_4,2420.0,43,6
team_5,2392.5,38,7
team_1,2368.5,32,8
team_8,2477.0,59,1
team_7,2469.0,57,2
team_6,2415.0,56,3
team_2,2412.0,52,4
team_5,2392.5,44,5
team_4,2420.0,40,6
team_3,2343.5,38,7
team_1,2368.5,33,8
team_8,2477.0,61,1
team_7,2469.0,53,2
team_2,2412.0,51,3
team_4,2420.0,50,4
team_6,2415.0,45,5
team_1,2368.5,40,6
team_3,2343.5,40,7
team_5,2392.5,38,8
team_8,2477.0,62,1
team_6,2415.0,57,2
team_2,2412.0,54,3
team_7,2469.0,52,4
team_4,2420.0,43,5
team_3,2343.5,39,6
team_1,2368.5,36,7
team_5,2392.5,35,8
team_8,2477.0,65,1
team_2,2412.0,59,2
team_7,2469.0,55,3
team_4,2420.0,47,4
team_6,2415.0,47,5
team_5,2392.5,43,6
team_3,2343.5,38,7
team_1,2368.5,27,8
team_8,2477.0,62,1
team_4,2420.0,57,2
team_6,2415.0,53,3
team_2,2412.0,51,4
team_7,2469.0,46,5
team_3,2343.5,42,6
team_5,2392.5,36,7
team_1,2368.5,32,8
team_2,2412.0,65,1
team_8,2477.0,61,2
team_6,2415.0,55,3
team_4,2420.0,51,4
team_7,2469.0,51,5
team_1,2368.5,37,6
team_5,2392.5,34,7
team_3,2343.5,24,8
team_8,2477.0,66,1
team_7,2469.0,55,2
team_2,2412.0,53,3
team_6,2415.0,49,4
team_3,2343.5,45,5
team_5,2392.5,39,6
team_4,2420.0,38,7
team_1,2368.5,30,8
team_8,2477.0,68,1
team_6,2415.0,54,2
team_5,2392.5,48,3
team_7,2469.0,47,4
team_4,2420.0,44,5
team_1,2368.5,42,6
team_3,2343.5,40,7
team_2,2412.0,38,8
team_8,2477.0,62,1
team_7,2469.0,56,2
team_4,2420.0,45,3
team_6,2415.0,44,4
team_5,2392.5,44,5
team_1,2368.5,43,6
team_2,2412.0,41,7
team_3,2343.5,40,8
team_7,2469.0,59,1
team_8,2477.0,56,2
team_6,2415.0,51,3
team_2,2412.0,48,4
team_4,2420.0,45,5
team_3,2343.5,41,6
team_5,2392.5,36,7
team_1,2368.5,35,8
team_8,2477.0,66,1
team_6,2415.0,59,2
team_2,2412.0,55,3
team_7,2469.0,55,4
team_4,2420.0,40,5
team_1,2368.5,39,6
team_5,2392.5,37,7
team_3,2343.5,34,8
team_7,2469.0,65,1
team_8,2477.0,58,2
team_4,2420.0,53,3
team_6,2415.0,49,4
team_2,2412.0,40,5
team_5,2392.5,38,6
team_3,2343.5,37,7
team_1,2368.5,37,8
team_8,2477.0,67,1
team_6,2415.0,52,2
team_7,2469.0,52,3
team_4,2420.0,47,4
team_5,2392.5,43,5
team_1,2368.5,42,6
team_2,2412.0,37,7
team_3,2343.5,35,8
team_7,2469.0,60,1
team_8,2477.0,59,2
team_6,2415.0,55,3
team_4,2420.0,49,4
team_2,2412.0,41,5
team_5,2392.5,40,6
team_3,2343.5,39,7
team_1,2368.5,39,8
team_8,2477.0,61,1
team_4,2420.0,55,2
team_6,2415.0,51,3
team_7,2469.0,48,4
team_5,2392.5,47,5
team_2,2412.0,43,6
team_3,2343.5,39,7
team_1,2368.5,35,8
team_8,2477.0,56,1
team_4,2420.0,49,2
team_7,2469.0,49,3
team_6,2415.0,47,4
team_2,2412.0,46,5
team_5,2392.5,44,6
team_1,2368.5,43,7
team_3,2343.5,35,8
team_7,2469.0,59,1
team_8,2477.0,58,2
team_2,2412.0,50,3
team_4,2420.0,46,4
team_6,2415.0,46,5
team_5,2392.5,42,6
team_1,2368.5,41,7
team_3,2343.5,38,8
team_7,2469.0,62,1
team_8,2477.0,56,2
team_4,2420.0,52,3
team_6,2415.0,52,4
team_2,2412.0,45,5
team_3,2343.5,41,6
team_5,2392.5,36,7
team_1,2368.5,31,8
team_7,2469.0,65,1
team_8,2477.0,58,2
team_6,2415.0,55,3
team_5,2392.5,51,4
team_2,2412.0,42,5
team_4,2420.0,39,6
team_1,2368.5,34,7
team_3,2343.5,30,8
team_8,2477.0,63,1
team_7,2469.0,57,2
team_6,2415.0,53,3
team_4,2420.0,47,4
team_2,2412.0,46,5
team_3,2343.5,42,6
team_5,2392.5,41,7
team_1,2368.5,32,8
team_8,2477.0,62,1
team_6,2415.0,59,2
team_7,2469.0,55,3
team_3,2343.5,46,4
team_4,2420.0,44,5
team_2,2412.0,39,6
team_5,2392.5,38,7
team_1,2368.5,36,8
team_8,2477.0,58,1
team_7,2469.0,53,2
team_2,2412.0,52,3
team_4,2420.0,44,4
team_6,2415.0,42,5
team_3,2343.5,40,6
team_1,2368.5,38,7
team_5,2392.5,38,8
team_8,2477.0,67,1
team_7,2469.0,52,2
team_4,2420.0,48,3
team_6,2415.0,47,4
team_2,2412.0,45,5
team_3,2343.5,45,6
team_1,2368.5,36,7
team_5,2392.5,34,8
team_8,2477.0,62,1
team_2,2412.0,58,2
team_4,2420.0,55,3
team_7,2469.0,49,4
team_5,2392.5,44,5
team_6,2415.0,43,6
team_3,2343.5,39,7
team_1,2368.5,34,8
team_8,2477.0,69,1
team_7,2469.0,52,2
team_6,2415.0,50,3
team_2,2412.0,46,4
team_1,2368.5,44,5
team_3,2343.5,42,6
team_5,2392.5,41,7
team_4,2420.0,39,8
team_7,2469.0,60,1
team_8,2477.0,54,2
team_4,2420.0,48,3
team_1,2368.5,46,4
team_2,2412.0,46,5
team_6,2415.0,43,6
team_5,2392.5,42,7
team_3,2343.5,34,8
team_8,2477.0,71,1
team_7,2469.0,63,2
team_6,2415.0,61,3
team_2,2412.0,42,4
team_5,2392.5,39,5
team_1,2368.5,38,6
team_4,2420.0,38,7
team_3,2343.5,36,8
team_8,2477.0,58,1
team_5,2392.5,58,2
team_7,2469.0,57,3
team_6,2415.0,51,4
team_2,2412.0,46,5
team_4,2420.0,45,6
team_3,2343.5,37,7
team_1,2368.5,32,8
team_8,2477.0,66,1
team_2,2412.0,53,2
team_4,2420.0,53,3
team_6,2415.0,49,4
team_7,2469.0,48,5
team_5,2392.5,42,6
team_3,2343.5,37,7
team_1,2368.5,32,8
team_8,2477.0,62,1
team_6,2415.0,58,2
team_7,2469.0,56,3
team_4,2420.0,51,4
team_2,2412.0,50,5
team_3,2343.5,40,6
team_5,2392.5,35,7
team_1,2368.5,27,8
team_8,2477.0,57,1
team_4,2420.0,55,2
team_7,2469.0,55,3
team_6,2415.0,53,4
team_5,2392.5,47,5
team_2,2412.0,44,6
team_3,2343.5,40,7
team_1,2368.5,25,8
team_8,2477.0,60,1
team_6,2415.0,53,2
team_7,2469.0,50,3
team_2,2412.0,45,4
team_3,2343.5,45,5
team_4,2420.0,41,6
team_5,2392.5,40,7
team_1,2368.5,36,8
team_8,2477.0,61,1
team_6,2415.0,52,2
team_2,2412.0,50,3
team_7,2469.0,49,4
team_4,2420.0,48,5
team_3,2343.5,44,6
team_5,2392.5,39,7
team_1,2368.5,31,8
team_8,2477.0,59,1
team_7,2469.0,57,2
team_6,2415.0,56,3
team_4,2420.0,53,4
team_2,2412.0,49,5
team_1,2368.5,42,6
team_3,2343.5,39,7
team_5,2392.5,36,8
team_8,2477.0,63,1
team_5,2392.5,54,2
team_7,2469.0,49,3
team_6,2415.0,46,4
team_3,2343.5,45,5
team_4,2420.0,45,6
team_2,2412.0,44,7
team_1,2368.5,29,8
team_7,2469.0,60,1
team_8,2477.0,56,2
team_6,2415.0,48,3
team_4,2420.0,46,4
team_2,2412.0,45,5
team_3,2343.5,42,6
team_5,2392.5,38,7
team_1,2368.5,32,8
team_7,2469.0,57,1
team_6,2415.0,56,2
team_2,2412.0,55,3
team_8,2477.0,55,4
team_1,2368.5,43,5
team_5,2392.5,41,6
team_4,2420.0,38,7
team_3,2343.5,35,8
team_8,2477.0,63,1
team_6,2415.0,51,2
team_7,2469.0,51,3
team_2,2412.0,47,4
team_4,2420.0,46,5
team_3,2343.5,44,6
team_5,2392.5,43,7
team_1,2368.5,31,8
team_8,2477.0,63,1
team_7,2469.0,57,2
team_6,2415.0,52,3
team_4,2420.0,49,4
team_5,2392.5,45,5
team_2,2412.0,44,6
team_1,2368.5,40,7
team_3,2343.5,28,8
team_7,2469.0,61,1
team_8,2477.0,60,2
team_6,2415.0,53,3
team_2,2412.0,44,4
team_5,2392.5,44,5
team_3,2343.5,41,6
team_4,2420.0,41,7
team_1,2368.5,33,8
team_7,2469.0,61,1
team_8,2477.0,56,2
team_2,2412.0,52,3
team_6,2415.0,49,4
team_3,2343.5,48,5
team_4,2420.0,45,6
team_5,2392.5,31,7
team_1,2368.5,30,8
team_8,2477.0,62,1
team_7,2469.0,60,2
team_6,2415.0,54,3
team_2,2412.0,50,4
team_4,2420.0,48,5
team_1,2368.5,41,6
team_3,2343.5,35,7
team_5,2392.5,33,8
team_8,2477.0,62,1
team_7,2469.0,57,2
team_2,2412.0,48,3
team_6,2415.0,45,4
team_4,2420.0,43,5
team_5,2392.5,43,6
team_3,2343.5,36,7
team_1,2368.5,35,8
team_8,2477.0,62,1
team_6,2415.0,57,2
team_2,2412.0,50,3
team_3,2343.5,46,4
team_4,2420.0,46,5
team_5,2392.5,40,6
team_7,2469.0,40,7
team_1,2368.5,38,8
team_6,2415.0,62,1
team_8,2477.0,59,2
team_7,2469.0,54,3
team_4,2420.0,48,4
team_2,2412.0,46,5
team_3,2343.5,45,6
team_1,2368.5,31,7
team_5,2392.5,31,8
team_8,2477.0,68,1
team_7,2469.0,57,2
team_6,2415.0,55,3
team_4,2420.0,46,4
team_1,2368.5,42,5
team_5,2392.5,42,6
team_2,2412.0,37,7
team_3,2343.5,33,8
team_8,2477.0,63,1
team_7,2469.0,57,2
team_2,2412.0,46,3
team_6,2415.0,46,4
team_4,2420.0,45,5
team_1,2368.5,44,6
team_5,2392.5,42,7
team_3,2343.5,36,8
team_5,2392.5,58,1
team_6,2415.0,54,2
team_8,2477.0,54,3
team_2,2412.0,50,4
team_7,2469.0,46,5
team_4,2420.0,42,6
team_1,2368.5,41,7
team_3,2343.5,33,8
team_8,2477.0,64,1
team_7,2469.0,54,2
team_4,2420.0,53,3
team_6,2415.0,49,4
team_5,2392.5,43,5
team_3,2343.5,41,6
team_1,2368.5,39,7
team_2,2412.0,37,8
team_6,2415.0,59,1
team_8,2477.0,56,2
team_7,2469.0,51,3
team_4,2420.0,49,4
team_5,2392.5,47,5
team_2,2412.0,43,6
team_3,2343.5,43,7
team_1,2368.5,35,8
team_8,2477.0,65,1
team_7,2469.0,54,2
team_2,2412.0,52,3
team_6,2415.0,50,4
team_4,2420.0,46,5
team_5,2392.5,45,6
team_3,2343.5,40,7
team_1,2368.5,28,8
team_8,2477.0,65,1
team_7,2469.0,59,2
team_6,2415.0,49,3
team_2,2412.0,47,4
team_5,2392.5,46,5
team_4,2420.0,41,6
team_3,2343.5,37,7
team_1,2368.5,30,8
team_8,2477.0,61,1
team_6,2415.0,56,2
team_7,2469.0,50,3
team_2,2412.0,49,4
team_3,2343.5,42,5
team_1,2368.5,41,6
team_4,2420.0,40,7
team_5,2392.5,38,8
team_4,2420.0,60,1
team_8,2477.0,60,2
team_7,2469.0,50,3
team_2,2412.0,49,4
team_6,2415.0,46,5
team_3,2343.5,40,6
team_5,2392.5,37,7
team_1,2368.5,36,8
team_7,2469.0,62,1
team_8,2477.0,60,2
team_6,2415.0,51,3
team_2,2412.0,50,4
team_5,2392.5,45,5
team_4,2420.0,37,6
team_3,2343.5,35,7
team_1,2368.5,32,8
team_8,2477.0,64,1
team_7,2469.0,58,2
team_2,2412.0,45,3
team_4,2420.0,45,4
team_6,2415.0,43,5
team_1,2368.5,40,6
team_5,2392.5,40,7
team_3,2343.5,30,8
team_8,2477.0,62,1
team_7,2469.0,51,2
team_4,2420.0,49,3
team_2,2412.0,46,4
team_3,2343.5,46,5
team_6,2415.0,45,6
team_5,2392.5,41,7
team_1,2368.5,38,8
team_8,2477.0,56,1
team_7,2469.0,53,2
team_1,2368.5,47,3
team_3,2343.5,47,4
team_4,2420.0,47,5
team_6,2415.0,46,6
team_2,2412.0,42,7
team_5,2392.5,41,8
team_8,2477.0,68,1
team_7,2469.0,56,2
team_2,2412.0,49,3
team_6,2415.0,48,4
team_4,2420.0,47,5
team_5,2392.5,38,6
team_3,2343.5,36,7
team_1,2368.5,34,8
team_8,2477.0,60,1
team_6,2415.0,59,2
team_2,2412.0,54,3
team_4,2420.0,53,4
team_7,2469.0,47,5
team_5,2392.5,45,6
team_3,2343.5,35,7
team_1,2368.5,35,8
team_8,2477.0,67,1
team_7,2469.0,57,2
team_6,2415.0,52,3
team_2,2412.0,45,4
team_3,2343.5,41,5
team_4,2420.0,40,6
team_5,2392.5,38,7
team_1,2368.5,34,8
team_8,2477.0,63,1
team_6,2415.0,55,2
team_7,2469.0,47,3
team_2,2412.0,45,4
team_4,2420.0,45,5
team_5,2392.5,43,6
team_3,2343.5,40,7
team_1,2368.5,33,8
team_8,2477.0,61,1
team_4,2420.0,57,2
team_7,2469.0,53,3
team_6,2415.0,52,4
team_5,2392.5,48,5
team_2,2412.0,44,6
team_3,2343.5,39,7
team_1,2368.5,33,8
team_8,2477.0,59,1
team_4,2420.0,57,2
team_7,2469.0,56,3
team_5,2392.5,55,4
team_6,2415.0,49,5
team_2,2412.0,41,6
team_3,2343.5,30,7
team_1,2368.5,26,8
team_8,2477.0,61,1
team_7,2469.0,53,2
team_6,2415.0,51,3
team_4,2420.0,49,4
team_2,2412.0,47,5
team_3,2343.5,40,6
team_1,2368.5,37,7
team_5,2392.5,37,8
team_8,2477.0,66,1
team_7,2469.0,55,2
team_2,2412.0,50,3
team_5,2392.5,48,4
team_3,2343.5,43,5
team_4,2420.0,42,6
team_6,2415.0,41,7
team_1,2368.5,32,8
team_7,2469.0,64,1
team_8,2477.0,52,2
team_5,2392.5,49,3
team_2,2412.0,48,4
team_6,2415.0,46,5
team_4,2420.0,45,6
team_3,2343.5,41,7
team_1,2368.5,30,8
team_8,2477.0,70,1
team_6,2415.0,50,2
team_2,2412.0,47,3
team_7,2469.0,46,4
team_4,2420.0,45,5
team_1,2368.5,41,6
team_5,2392.5,40,7
team_3,2343.5,38,8
team_8,2477.0,68,1
team_7,2469.0,54,2
team_4,2420.0,47,3
team_2,2412.0,46,4
team_6,2415.0,46,5
team_1,2368.5,38,6
